piece	sum	instruction	answer
1	12	Use 1 Blue and 2 Yellow	Yellow, Yellow, Blue
2	16	Use 2 Red and 1 Green	Red, Green, Red
3	12	Use 2 Blue and 1 Green	Blue, Green, Blue
4	23	Use 1 Yellow and 2 Green	Yellow, Green, Green
5	12	Use 2 Blue and 1 Yellow	Blue, Blue, Yellow
6	18	Use 1 Blue and 2 Green	Green, Blue, Green
7	15	Use 2 Blue and 1 Green	Blue, Blue, Green
8	19	Use 2 Yellow and 1 Green	Green, Yellow, Yellow
9	8	Use 2 Blue and 1 Yellow	Yellow, Blue, Blue
10	22	Use 1 Red and 2 Green	Red, Green, Green
11	22	Use 1 Yellow and 2 Green	Green, Yellow, Green
12	22	Use 1 Red and 2 Green	Red, Green, Green
13	12	Use 2 Blue and 1 Yellow	Blue, Blue, Yellow
14	18	Use 1 Blue and 2 Green	Green, Blue, Green
15	20	Use 1 Red and 2 Green	Green, Red, Green
16	14	Use 2 Red and 1 Green	Green, Red, Red
17	21	Use 2 Yellow and 1 Green	Yellow, Yellow, Green
