answer
Blue, Blue, Green
Yellow, Green, Yellow
Blue, Blue, Green
Yellow, Blue, Blue
Green, Red, Red
Green, Red, Red
Yellow, Blue, Blue
Red, Blue, Red
Blue, Yellow, Blue
Yellow, Blue, Blue
Yellow, Green, Yellow
Green, Red, Green
Red, Blue, Red
Blue, Blue, Green
Green, Red, Green
Blue, Yellow, Blue
Green, Red, Red
Green, Red, Red
Blue, Yellow, Blue
Blue, Yellow, Blue
Blue, Blue, Green
Blue, Yellow, Blue
Yellow, Blue, Blue
Yellow, Green, Yellow
Red, Blue, Red
Blue, Blue, Green
Red, Green, Green
Green, Red, Green
Green, Red, Red
Red, Green, Green
Blue, Yellow, Blue
Yellow, Blue, Blue
Yellow, Blue, Blue
Green, Red, Red
Red, Blue, Red
Red, Blue, Red
Green, Red, Green
Yellow, Green, Yellow
Green, Red, Red
Blue, Yellow, Blue
