piece	sum	instruction	answer
1	18	Use 2 Red and 1 Green	Red, Red, Green
2	22	Use 1 Red and 2 Green	Red, Green, Green
3	22	Use 1 Yellow and 2 Green	Green, Yellow, Green
4	10	Use 2 Blue and 1 Yellow	Blue, Yellow, Blue
5	12	Use 2 Blue and 1 Yellow	Blue, Blue, Yellow
6	18	Use 1 Blue and 2 Green	Green, Blue, Green
7	14	Use 2 Red and 1 Green	Green, Red, Red
8	15	Use 2 Blue and 1 Green	Blue, Blue, Green
9	8	Use 2 Blue and 1 Red	Blue, Red, Blue
10	14	Use 2 Red and 1 Green	Green, Red, Red
11	10	Use 2 Blue and 1 Yellow	Blue, Yellow, Blue
12	7	Use 2 Blue and 1 Red	Red, Blue, Blue
13	10	Use 1 Blue and 2 Red	Red, Blue, Red
14	12	Use 2 Blue and 1 Green	Blue, Green, Blue
15	21	Use 2 Yellow and 1 Green	Yellow, Yellow, Green
16	15	Use 2 Red and 1 Yellow	Red, Red, Yellow
17	18	Use 1 Blue and 2 Green	Green, Blue, Green
