answer
Blue, Blue, Green
Green, Red, Red
Green, Red, Green
Green, Red, Green
Green, Red, Red
Green, Red, Red
Yellow, Blue, Blue
Blue, Yellow, Blue
Yellow, Blue, Blue
Red, Blue, Red
Blue, Blue, Green
Yellow, Blue, Blue
Blue, Yellow, Blue
Blue, Yellow, Blue
Green, Red, Green
Green, Red, Red
Red, Blue, Red
Blue, Yellow, Blue
Yellow, Green, Yellow
Yellow, Green, Yellow
Green, Red, Green
Red, Blue, Red
Green, Red, Green
Blue, Blue, Green
Yellow, Green, Yellow
Green, Red, Red
Yellow, Green, Yellow
Green, Red, Red
Red, Green, Green
Blue, Blue, Green
Green, Red, Green
Green, Red, Green
Blue, Blue, Green
Red, Blue, Red
Red, Green, Green
Blue, Blue, Green
Yellow, Green, Yellow
Red, Green, Green
Blue, Blue, Green
Blue, Blue, Green
