piece	sum	instruction	answer
1	21	Use 2 Yellow and 1 Green	Yellow, Yellow, Green
2	14	Use 1 Blue and 2 Yellow	Yellow, Blue, Yellow
3	15	Use 2 Red and 1 Yellow	Red, Red, Yellow
4	9	Use 2 Blue and 1 Green	Green, Blue, Blue
5	17	Use 1 Red and 2 Yellow	Red, Yellow, Yellow
6	14	Use 2 Red and 1 Green	Green, Red, Red
7	20	Use 2 Yellow and 1 Green	Yellow, Green, Yellow
8	12	Use 2 Blue and 1 Green	Blue, Green, Blue
9	10	Use 1 Blue and 2 Red	Red, Blue, Red
10	15	Use 2 Red and 1 Yellow	Red, Red, Yellow
11	20	Use 1 Red and 2 Green	Green, Red, Green
12	14	Use 2 Red and 1 Yellow	Red, Yellow, Red
13	23	Use 1 Yellow and 2 Green	Yellow, Green, Green
14	18	Use 1 Red and 2 Green	Green, Green, Red
15	18	Use 1 Blue and 2 Green	Green, Blue, Green
16	12	Use 1 Blue and 2 Yellow	Yellow, Yellow, Blue
17	16	Use 1 Red and 2 Yellow	Yellow, Red, Yellow
