answer
Green, Red, Green
Yellow, Green, Yellow
Green, Red, Red
Blue, Green, Green
Red, Blue, Red
Blue, Blue, Green
Green, Green, Yellow
Red, Red, Blue
Blue, Blue, Green
Red, Blue, Red
Blue, Green, Green
Green, Blue, Blue
Blue, Blue, Green
Red, Blue, Red
Red, Blue, Blue
Green, Green, Blue
Yellow, Blue, Blue
Red, Green, Green
Blue, Green, Green
Yellow, Blue, Yellow
Green, Red, Red
Blue, Blue, Green
Green, Yellow, Green
Green, Green, Blue
Red, Green, Green
Yellow, Green, Yellow
Green, Red, Green
Red, Red, Blue
Blue, Blue, Green
Yellow, Green, Yellow
Green, Red, Red
Green, Blue, Green
Yellow, Blue, Blue
Red, Green, Green
Yellow, Blue, Blue
Blue, Red, Blue
Yellow, Blue, Blue
Blue, Blue, Green
Green, Red, Red
Green, Red, Green
