piece	sum	instruction	answer
1	8	Use 2 Blue and 1 Red	Blue, Red, Blue
2	15	Use 1 Red and 2 Yellow	Yellow, Yellow, Red
3	8	Use 2 Blue and 1 Red	Blue, Red, Blue
4	21	Use 1 Blue and 2 Green	Blue, Green, Green
5	23	Use 1 Yellow and 2 Green	Yellow, Green, Green
6	16	Use 2 Red and 1 Green	Red, Green, Red
7	14	Use 2 Red and 1 Yellow	Red, Yellow, Red
8	19	Use 2 Yellow and 1 Green	Green, Yellow, Yellow
9	8	Use 2 Blue and 1 Red	Blue, Red, Blue
10	9	Use 2 Blue and 1 Green	Green, Blue, Blue
11	15	Use 2 Red and 1 Yellow	Red, Red, Yellow
12	11	Use 1 Blue and 2 Red	Blue, Red, Red
13	15	Use 2 Red and 1 Yellow	Red, Red, Yellow
14	21	Use 1 Yellow and 2 Green	Green, Green, Yellow
15	15	Use 2 Blue and 1 Green	Blue, Blue, Green
16	15	Use 2 Red and 1 Yellow	Red, Red, Yellow
17	19	Use 2 Yellow and 1 Green	Green, Yellow, Yellow
