answer
Blue, Yellow, Blue
Green, Red, Green
Green, Green, Red
Blue, Blue, Yellow
Yellow, Green, Yellow
Green, Red, Red
Blue, Blue, Green
Blue, Blue, Yellow
Red, Green, Green
Red, Blue, Red
Green, Yellow, Yellow
Blue, Red, Red
Red, Blue, Red
Blue, Blue, Green
Green, Yellow, Yellow
Yellow, Red, Yellow
Blue, Blue, Green
Green, Red, Green
Yellow, Yellow, Blue
Red, Green, Red
Yellow, Green, Yellow
Red, Green, Green
Blue, Yellow, Blue
Blue, Yellow, Yellow
Green, Red, Green
Red, Green, Green
Red, Green, Green
Green, Green, Yellow
Yellow, Green, Yellow
Green, Red, Red
Blue, Yellow, Blue
Red, Red, Green
Red, Blue, Red
Yellow, Green, Yellow
Yellow, Red, Yellow
Yellow, Green, Yellow
Green, Red, Red
Green, Red, Red
Red, Blue, Blue
Yellow, Green, Green
