piece	sum	instruction	answer
1	15	Use 2 Blue and 1 Green	Blue, Blue, Green
2	8	Use 2 Blue and 1 Yellow	Yellow, Blue, Blue
3	21	Use 1 Yellow and 2 Green	Green, Green, Yellow
4	7	Use 2 Blue and 1 Red	Red, Blue, Blue
5	22	Use 1 Red and 2 Green	Red, Green, Green
6	16	Use 1 Blue and 2 Yellow	Blue, Yellow, Yellow
7	13	Use 2 Red and 1 Yellow	Yellow, Red, Red
8	20	Use 2 Yellow and 1 Green	Yellow, Green, Yellow
9	21	Use 1 Yellow and 2 Green	Green, Green, Yellow
10	23	Use 1 Yellow and 2 Green	Yellow, Green, Green
11	17	Use 1 Red and 2 Yellow	Red, Yellow, Yellow
12	12	Use 1 Blue and 2 Yellow	Yellow, Yellow, Blue
13	22	Use 1 Yellow and 2 Green	Green, Yellow, Green
14	15	Use 1 Blue and 2 Green	Green, Green, Blue
15	22	Use 1 Red and 2 Green	Red, Green, Green
16	20	Use 2 Yellow and 1 Green	Yellow, Green, Yellow
17	18	Use 1 Red and 2 Green	Green, Green, Red
