piece	sum	instruction	answer
1	21	Use 2 Yellow and 1 Green	Yellow, Yellow, Green
2	10	Use 2 Blue and 1 Yellow	Blue, Yellow, Blue
3	16	Use 1 Blue and 2 Yellow	Blue, Yellow, Yellow
4	10	Use 2 Blue and 1 Yellow	Blue, Yellow, Blue
5	15	Use 2 Red and 1 Yellow	Red, Red, Yellow
6	12	Use 2 Blue and 1 Yellow	Blue, Blue, Yellow
7	14	Use 1 Blue and 2 Yellow	Yellow, Blue, Yellow
8	16	Use 2 Red and 1 Green	Red, Green, Red
9	10	Use 2 Blue and 1 Yellow	Blue, Yellow, Blue
10	20	Use 1 Red and 2 Green	Green, Red, Green
11	20	Use 2 Yellow and 1 Green	Yellow, Green, Yellow
12	22	Use 1 Red and 2 Green	Red, Green, Green
13	15	Use 1 Red and 2 Yellow	Yellow, Yellow, Red
14	20	Use 1 Red and 2 Green	Green, Red, Green
15	12	Use 2 Blue and 1 Green	Blue, Green, Blue
16	16	Use 1 Blue and 2 Yellow	Blue, Yellow, Yellow
17	15	Use 1 Red and 2 Yellow	Yellow, Yellow, Red
