piece	sum	instruction	answer
1	21	Use 1 Blue and 2 Green	Blue, Green, Green
2	22	Use 1 Red and 2 Green	Red, Green, Green
3	13	Use 2 Red and 1 Yellow	Yellow, Red, Red
4	23	Use 1 Yellow and 2 Green	Yellow, Green, Green
5	11	Use 1 Blue and 2 Red	Blue, Red, Red
6	8	Use 2 Blue and 1 Red	Blue, Red, Blue
7	21	Use 1 Yellow and 2 Green	Green, Green, Yellow
8	10	Use 2 Blue and 1 Yellow	Blue, Yellow, Blue
9	18	Use 1 Blue and 2 Green	Green, Blue, Green
10	14	Use 2 Red and 1 Green	Green, Red, Red
11	21	Use 1 Yellow and 2 Green	Green, Green, Yellow
12	14	Use 2 Red and 1 Yellow	Red, Yellow, Red
13	22	Use 1 Yellow and 2 Green	Green, Yellow, Green
14	20	Use 2 Yellow and 1 Green	Yellow, Green, Yellow
15	8	Use 2 Blue and 1 Red	Blue, Red, Blue
16	10	Use 1 Blue and 2 Red	Red, Blue, Red
17	15	Use 2 Blue and 1 Green	Blue, Blue, Green
