piece	sum	instruction	answer
1	18	Use 1 Blue and 2 Green	Green, Blue, Green
2	12	Use 2 Blue and 1 Yellow	Blue, Blue, Yellow
3	14	Use 1 Blue and 2 Yellow	Yellow, Blue, Yellow
4	12	Use 2 Blue and 1 Green	Blue, Green, Blue
5	13	Use 2 Red and 1 Yellow	Yellow, Red, Red
6	12	Use 2 Blue and 1 Green	Blue, Green, Blue
7	9	Use 2 Blue and 1 Red	Blue, Blue, Red
8	12	Use 1 Blue and 2 Yellow	Yellow, Yellow, Blue
9	15	Use 2 Blue and 1 Green	Blue, Blue, Green
10	7	Use 2 Blue and 1 Red	Red, Blue, Blue
11	20	Use 1 Red and 2 Green	Green, Red, Green
12	20	Use 2 Yellow and 1 Green	Yellow, Green, Yellow
13	10	Use 2 Blue and 1 Yellow	Blue, Yellow, Blue
14	8	Use 2 Blue and 1 Red	Blue, Red, Blue
15	22	Use 1 Red and 2 Green	Red, Green, Green
16	12	Use 2 Blue and 1 Green	Blue, Green, Blue
17	21	Use 1 Yellow and 2 Green	Green, Green, Yellow
