piece	sum	instruction	answer
1	22	Use 1 Red and 2 Green	Red, Green, Green
2	23	Use 1 Yellow and 2 Green	Yellow, Green, Green
3	21	Use 2 Yellow and 1 Green	Yellow, Yellow, Green
4	21	Use 2 Yellow and 1 Green	Yellow, Yellow, Green
5	12	Use 1 Blue and 2 Yellow	Yellow, Yellow, Blue
6	18	Use 1 Red and 2 Green	Green, Green, Red
7	21	Use 1 Blue and 2 Green	Blue, Green, Green
8	9	Use 1 Blue and 2 Red	Red, Red, Blue
9	10	Use 2 Blue and 1 Yellow	Blue, Yellow, Blue
10	9	Use 1 Blue and 2 Red	Red, Red, Blue
11	18	Use 1 Red and 2 Green	Green, Green, Red
12	21	Use 1 Blue and 2 Green	Blue, Green, Green
13	17	Use 1 Red and 2 Yellow	Red, Yellow, Yellow
14	19	Use 2 Yellow and 1 Green	Green, Yellow, Yellow
15	17	Use 1 Red and 2 Yellow	Red, Yellow, Yellow
16	9	Use 1 Blue and 2 Red	Red, Red, Blue
17	9	Use 2 Blue and 1 Red	Blue, Blue, Red
