piece	sum	instruction	answer
1	16	Use 1 Red and 2 Yellow	Yellow, Red, Yellow
2	9	Use 1 Blue and 2 Red	Red, Red, Blue
3	8	Use 2 Blue and 1 Red	Blue, Red, Blue
4	15	Use 2 Blue and 1 Green	Blue, Blue, Green
5	9	Use 2 Blue and 1 Red	Blue, Blue, Red
6	7	Use 2 Blue and 1 Red	Red, Blue, Blue
7	21	Use 2 Yellow and 1 Green	Yellow, Yellow, Green
8	12	Use 2 Blue and 1 Yellow	Blue, Blue, Yellow
9	14	Use 2 Red and 1 Yellow	Red, Yellow, Red
10	15	Use 1 Red and 2 Yellow	Yellow, Yellow, Red
11	19	Use 2 Yellow and 1 Green	Green, Yellow, Yellow
12	17	Use 1 Red and 2 Yellow	Red, Yellow, Yellow
13	23	Use 1 Yellow and 2 Green	Yellow, Green, Green
14	15	Use 1 Red and 2 Yellow	Yellow, Yellow, Red
15	22	Use 1 Yellow and 2 Green	Green, Yellow, Green
16	9	Use 2 Blue and 1 Green	Green, Blue, Blue
17	18	Use 2 Red and 1 Green	Red, Red, Green
