answer
Blue, Yellow, Blue
Red, Blue, Red
Yellow, Red, Yellow
Yellow, Red, Yellow
Green, Red, Green
Yellow, Blue, Blue
Yellow, Red, Yellow
Green, Red, Red
Blue, Blue, Green
Blue, Blue, Green
Red, Yellow, Red
Green, Blue, Blue
Green, Red, Green
Red, Blue, Red
Red, Red, Blue
Red, Red, Yellow
Green, Red, Red
Yellow, Blue, Blue
Blue, Blue, Green
Yellow, Yellow, Red
Red, Green, Green
Green, Red, Red
Green, Green, Red
Yellow, Yellow, Red
Green, Red, Green
Red, Blue, Red
Yellow, Green, Yellow
Yellow, Green, Green
Red, Green, Green
Blue, Yellow, Blue
Green, Yellow, Yellow
Green, Red, Red
Green, Red, Green
Yellow, Green, Yellow
Green, Red, Green
Yellow, Yellow, Blue
Red, Blue, Red
Green, Red, Green
Blue, Yellow, Blue
Green, Green, Yellow
