answer
Yellow, Green, Yellow
Red, Green, Green
Red, Red, Green
Blue, Blue, Green
Blue, Blue, Green
Green, Red, Green
Blue, Green, Green
Yellow, Yellow, Green
Yellow, Green, Yellow
Green, Red, Green
Red, Blue, Blue
Red, Blue, Blue
Green, Red, Red
Red, Green, Green
Green, Blue, Blue
Yellow, Yellow, Blue
Green, Red, Green
Green, Red, Green
Yellow, Blue, Blue
Green, Yellow, Yellow
Red, Green, Green
Blue, Blue, Green
Yellow, Blue, Blue
Yellow, Red, Yellow
Blue, Blue, Green
Blue, Yellow, Blue
Red, Yellow, Yellow
Blue, Red, Blue
Yellow, Green, Yellow
Blue, Yellow, Blue
Blue, Yellow, Blue
Blue, Red, Blue
Blue, Blue, Green
Yellow, Green, Yellow
Yellow, Green, Green
Yellow, Red, Yellow
Red, Green, Green
Blue, Blue, Green
Yellow, Yellow, Blue
Blue, Blue, Yellow
