piece	sum	instruction	answer
1	15	Use 1 Red and 2 Yellow	Yellow, Yellow, Red
2	18	Use 2 Red and 1 Green	Red, Red, Green
3	21	Use 1 Yellow and 2 Green	Green, Green, Yellow
4	15	Use 1 Blue and 2 Green	Green, Green, Blue
5	9	Use 2 Blue and 1 Red	Blue, Blue, Red
6	15	Use 2 Red and 1 Yellow	Red, Red, Yellow
7	16	Use 1 Red and 2 Yellow	Yellow, Red, Yellow
8	8	Use 2 Blue and 1 Red	Blue, Red, Blue
9	9	Use 2 Blue and 1 Green	Green, Blue, Blue
10	21	Use 1 Blue and 2 Green	Blue, Green, Green
11	7	Use 2 Blue and 1 Red	Red, Blue, Blue
12	10	Use 2 Blue and 1 Yellow	Blue, Yellow, Blue
13	15	Use 2 Blue and 1 Green	Blue, Blue, Green
14	10	Use 2 Blue and 1 Yellow	Blue, Yellow, Blue
15	15	Use 2 Red and 1 Yellow	Red, Red, Yellow
16	8	Use 2 Blue and 1 Yellow	Yellow, Blue, Blue
17	9	Use 2 Blue and 1 Green	Green, Blue, Blue
