piece	sum	instruction	answer
1	7	Use 2 Blue and 1 Red	Red, Blue, Blue
2	20	Use 1 Red and 2 Green	Green, Red, Green
3	8	Use 2 Blue and 1 Red	Blue, Red, Blue
4	21	Use 1 Yellow and 2 Green	Green, Green, Yellow
5	17	Use 1 Red and 2 Yellow	Red, Yellow, Yellow
6	9	Use 2 Blue and 1 Green	Green, Blue, Blue
7	14	Use 2 Red and 1 Green	Green, Red, Red
8	14	Use 2 Red and 1 Yellow	Red, Yellow, Red
9	10	Use 1 Blue and 2 Red	Red, Blue, Red
10	16	Use 1 Red and 2 Yellow	Yellow, Red, Yellow
11	19	Use 2 Yellow and 1 Green	Green, Yellow, Yellow
12	17	Use 1 Red and 2 Yellow	Red, Yellow, Yellow
13	9	Use 2 Blue and 1 Red	Blue, Blue, Red
14	16	Use 1 Blue and 2 Yellow	Blue, Yellow, Yellow
15	16	Use 1 Red and 2 Yellow	Yellow, Red, Yellow
16	16	Use 1 Blue and 2 Yellow	Blue, Yellow, Yellow
17	20	Use 2 Yellow and 1 Green	Yellow, Green, Yellow
