piece	sum	instruction	answer
1	19	Use 2 Yellow and 1 Green	Green, Yellow, Yellow
2	22	Use 1 Red and 2 Green	Red, Green, Green
3	9	Use 1 Blue and 2 Red	Red, Red, Blue
4	19	Use 2 Yellow and 1 Green	Green, Yellow, Yellow
5	21	Use 1 Yellow and 2 Green	Green, Green, Yellow
6	13	Use 2 Red and 1 Yellow	Yellow, Red, Red
7	19	Use 2 Yellow and 1 Green	Green, Yellow, Yellow
8	11	Use 1 Blue and 2 Red	Blue, Red, Red
9	12	Use 2 Blue and 1 Green	Blue, Green, Blue
10	21	Use 1 Yellow and 2 Green	Green, Green, Yellow
11	8	Use 2 Blue and 1 Yellow	Yellow, Blue, Blue
12	12	Use 2 Blue and 1 Green	Blue, Green, Blue
13	9	Use 1 Blue and 2 Red	Red, Red, Blue
14	9	Use 1 Blue and 2 Red	Red, Red, Blue
15	13	Use 2 Red and 1 Yellow	Yellow, Red, Red
16	13	Use 2 Red and 1 Yellow	Yellow, Red, Red
17	15	Use 1 Red and 2 Yellow	Yellow, Yellow, Red
