piece	sum	instruction	answer
1	8	Use 2 Blue and 1 Yellow	Yellow, Blue, Blue
2	15	Use 2 Blue and 1 Green	Blue, Blue, Green
3	12	Use 1 Blue and 2 Yellow	Yellow, Yellow, Blue
4	20	Use 2 Yellow and 1 Green	Yellow, Green, Yellow
5	17	Use 1 Red and 2 Yellow	Red, Yellow, Yellow
6	10	Use 1 Blue and 2 Red	Red, Blue, Red
7	20	Use 2 Yellow and 1 Green	Yellow, Green, Yellow
8	21	Use 1 Yellow and 2 Green	Green, Green, Yellow
9	8	Use 2 Blue and 1 Red	Blue, Red, Blue
10	21	Use 2 Yellow and 1 Green	Yellow, Yellow, Green
11	19	Use 2 Yellow and 1 Green	Green, Yellow, Yellow
12	17	Use 1 Red and 2 Yellow	Red, Yellow, Yellow
13	23	Use 1 Yellow and 2 Green	Yellow, Green, Green
14	19	Use 2 Yellow and 1 Green	Green, Yellow, Yellow
15	18	Use 1 Red and 2 Green	Green, Green, Red
16	12	Use 2 Blue and 1 Yellow	Blue, Blue, Yellow
17	9	Use 1 Blue and 2 Red	Red, Red, Blue
