piece	sum	instruction	answer
1	22	Use 1 Yellow and 2 Green	Green, Yellow, Green
2	21	Use 2 Yellow and 1 Green	Yellow, Yellow, Green
3	22	Use 1 Yellow and 2 Green	Green, Yellow, Green
4	11	Use 1 Blue and 2 Red	Blue, Red, Red
5	21	Use 1 Yellow and 2 Green	Green, Green, Yellow
6	8	Use 2 Blue and 1 Red	Blue, Red, Blue
7	11	Use 1 Blue and 2 Red	Blue, Red, Red
8	7	Use 2 Blue and 1 Red	Red, Blue, Blue
9	9	Use 2 Blue and 1 Red	Blue, Blue, Red
10	15	Use 1 Red and 2 Yellow	Yellow, Yellow, Red
11	13	Use 2 Red and 1 Yellow	Yellow, Red, Red
12	8	Use 2 Blue and 1 Yellow	Yellow, Blue, Blue
13	22	Use 1 Red and 2 Green	Red, Green, Green
14	13	Use 2 Red and 1 Yellow	Yellow, Red, Red
15	10	Use 1 Blue and 2 Red	Red, Blue, Red
16	17	Use 1 Red and 2 Yellow	Red, Yellow, Yellow
17	15	Use 1 Red and 2 Yellow	Yellow, Yellow, Red
