piece	sum	instruction	answer
1	9	Use 2 Blue and 1 Green	Green, Blue, Blue
2	15	Use 2 Red and 1 Yellow	Red, Red, Yellow
3	19	Use 2 Yellow and 1 Green	Green, Yellow, Yellow
4	14	Use 2 Red and 1 Yellow	Red, Yellow, Red
5	20	Use 1 Red and 2 Green	Green, Red, Green
6	15	Use 2 Blue and 1 Green	Blue, Blue, Green
7	15	Use 1 Blue and 2 Green	Green, Green, Blue
8	23	Use 1 Yellow and 2 Green	Yellow, Green, Green
9	10	Use 1 Blue and 2 Red	Red, Blue, Red
10	21	Use 1 Yellow and 2 Green	Green, Green, Yellow
11	12	Use 2 Blue and 1 Yellow	Blue, Blue, Yellow
12	20	Use 2 Yellow and 1 Green	Yellow, Green, Yellow
13	22	Use 1 Red and 2 Green	Red, Green, Green
14	11	Use 1 Blue and 2 Red	Blue, Red, Red
15	9	Use 2 Blue and 1 Green	Green, Blue, Blue
16	17	Use 1 Red and 2 Yellow	Red, Yellow, Yellow
17	12	Use 2 Blue and 1 Green	Blue, Green, Blue
