piece	sum	instruction	answer
1	9	Use 2 Blue and 1 Green	Green, Blue, Blue
2	16	Use 1 Blue and 2 Yellow	Blue, Yellow, Yellow
3	18	Use 2 Red and 1 Green	Red, Red, Green
4	7	Use 2 Blue and 1 Red	Red, Blue, Blue
5	15	Use 2 Blue and 1 Green	Blue, Blue, Green
6	16	Use 1 Blue and 2 Yellow	Blue, Yellow, Yellow
7	21	Use 1 Blue and 2 Green	Blue, Green, Green
8	15	Use 1 Red and 2 Yellow	Yellow, Yellow, Red
9	20	Use 1 Red and 2 Green	Green, Red, Green
10	21	Use 1 Blue and 2 Green	Blue, Green, Green
11	23	Use 1 Yellow and 2 Green	Yellow, Green, Green
12	21	Use 1 Blue and 2 Green	Blue, Green, Green
13	11	Use 1 Blue and 2 Red	Blue, Red, Red
14	21	Use 1 Blue and 2 Green	Blue, Green, Green
15	9	Use 1 Blue and 2 Red	Red, Red, Blue
16	22	Use 1 Yellow and 2 Green	Green, Yellow, Green
17	14	Use 2 Red and 1 Green	Green, Red, Red
