piece	sum	instruction	answer
1	18	Use 1 Blue and 2 Green	Green, Blue, Green
2	16	Use 1 Red and 2 Yellow	Yellow, Red, Yellow
3	14	Use 2 Red and 1 Green	Green, Red, Red
4	12	Use 2 Blue and 1 Green	Blue, Green, Blue
5	18	Use 1 Blue and 2 Green	Green, Blue, Green
6	15	Use 2 Blue and 1 Green	Blue, Blue, Green
7	23	Use 1 Yellow and 2 Green	Yellow, Green, Green
8	15	Use 1 Red and 2 Yellow	Yellow, Yellow, Red
9	18	Use 1 Blue and 2 Green	Green, Blue, Green
10	7	Use 2 Blue and 1 Red	Red, Blue, Blue
11	14	Use 2 Red and 1 Yellow	Red, Yellow, Red
12	8	Use 2 Blue and 1 Red	Blue, Red, Blue
13	20	Use 1 Red and 2 Green	Green, Red, Green
14	12	Use 1 Blue and 2 Yellow	Yellow, Yellow, Blue
15	12	Use 1 Blue and 2 Yellow	Yellow, Yellow, Blue
16	16	Use 1 Blue and 2 Yellow	Blue, Yellow, Yellow
17	12	Use 2 Blue and 1 Green	Blue, Green, Blue
