answer
Red, Green, Green
Yellow, Green, Yellow
Red, Green, Green
Green, Red, Green
Blue, Yellow, Blue
Red, Blue, Red
Blue, Yellow, Blue
Blue, Yellow, Blue
Red, Blue, Red
Green, Red, Red
Blue, Blue, Green
Yellow, Green, Yellow
Blue, Blue, Green
Green, Red, Green
Green, Red, Green
Blue, Yellow, Blue
Yellow, Blue, Blue
Red, Blue, Red
Yellow, Blue, Blue
Green, Red, Red
Blue, Blue, Green
Green, Red, Red
Yellow, Blue, Blue
Green, Red, Green
Red, Green, Green
Red, Blue, Red
Blue, Yellow, Blue
Blue, Yellow, Blue
Blue, Yellow, Blue
Blue, Yellow, Blue
Blue, Yellow, Blue
Yellow, Green, Yellow
Red, Green, Green
Red, Green, Green
Red, Blue, Red
Green, Red, Red
Red, Green, Green
Green, Red, Green
Blue, Yellow, Blue
Green, Red, Green
