piece	sum	instruction	answer
1	15	Use 1 Red and 2 Yellow	Yellow, Yellow, Red
2	23	Use 1 Yellow and 2 Green	Yellow, Green, Green
3	7	Use 2 Blue and 1 Red	Red, Blue, Blue
4	12	Use 2 Blue and 1 Yellow	Blue, Blue, Yellow
5	9	Use 1 Blue and 2 Red	Red, Red, Blue
6	18	Use 2 Red and 1 Green	Red, Red, Green
7	15	Use 1 Red and 2 Yellow	Yellow, Yellow, Red
8	17	Use 1 Red and 2 Yellow	Red, Yellow, Yellow
9	8	Use 2 Blue and 1 Yellow	Yellow, Blue, Blue
10	16	Use 1 Blue and 2 Yellow	Blue, Yellow, Yellow
11	12	Use 2 Blue and 1 Green	Blue, Green, Blue
12	18	Use 1 Red and 2 Green	Green, Green, Red
13	15	Use 2 Red and 1 Yellow	Red, Red, Yellow
14	18	Use 2 Red and 1 Green	Red, Red, Green
15	8	Use 2 Blue and 1 Red	Blue, Red, Blue
16	22	Use 1 Yellow and 2 Green	Green, Yellow, Green
17	21	Use 1 Blue and 2 Green	Blue, Green, Green
