piece	sum	instruction	answer
1	15	Use 2 Blue and 1 Green	Blue, Blue, Green
2	9	Use 2 Blue and 1 Red	Blue, Blue, Red
3	8	Use 2 Blue and 1 Red	Blue, Red, Blue
4	15	Use 2 Red and 1 Yellow	Red, Red, Yellow
5	19	Use 2 Yellow and 1 Green	Green, Yellow, Yellow
6	18	Use 1 Blue and 2 Green	Green, Blue, Green
7	22	Use 1 Red and 2 Green	Red, Green, Green
8	16	Use 2 Red and 1 Green	Red, Green, Red
9	11	Use 1 Blue and 2 Red	Blue, Red, Red
10	13	Use 2 Red and 1 Yellow	Yellow, Red, Red
11	15	Use 1 Red and 2 Yellow	Yellow, Yellow, Red
12	20	Use 1 Red and 2 Green	Green, Red, Green
13	7	Use 2 Blue and 1 Red	Red, Blue, Blue
14	14	Use 2 Red and 1 Green	Green, Red, Red
15	20	Use 2 Yellow and 1 Green	Yellow, Green, Yellow
16	8	Use 2 Blue and 1 Red	Blue, Red, Blue
17	10	Use 1 Blue and 2 Red	Red, Blue, Red
