piece	sum	instruction	answer
1	10	Use 2 Blue and 1 Yellow	Blue, Yellow, Blue
2	12	Use 1 Blue and 2 Yellow	Yellow, Yellow, Blue
3	12	Use 1 Blue and 2 Yellow	Yellow, Yellow, Blue
4	15	Use 2 Red and 1 Yellow	Red, Red, Yellow
5	21	Use 1 Yellow and 2 Green	Green, Green, Yellow
6	21	Use 1 Blue and 2 Green	Blue, Green, Green
7	18	Use 1 Red and 2 Green	Green, Green, Red
8	12	Use 2 Blue and 1 Yellow	Blue, Blue, Yellow
9	7	Use 2 Blue and 1 Red	Red, Blue, Blue
10	14	Use 2 Red and 1 Yellow	Red, Yellow, Red
11	15	Use 1 Blue and 2 Green	Green, Green, Blue
12	19	Use 2 Yellow and 1 Green	Green, Yellow, Yellow
13	22	Use 1 Yellow and 2 Green	Green, Yellow, Green
14	8	Use 2 Blue and 1 Red	Blue, Red, Blue
15	14	Use 1 Blue and 2 Yellow	Yellow, Blue, Yellow
16	18	Use 1 Blue and 2 Green	Green, Blue, Green
17	15	Use 1 Blue and 2 Green	Green, Green, Blue
