piece	sum	instruction	answer
1	15	Use 2 Blue and 1 Green	Blue, Blue, Green
2	13	Use 2 Red and 1 Yellow	Yellow, Red, Red
3	10	Use 2 Blue and 1 Yellow	Blue, Yellow, Blue
4	22	Use 1 Yellow and 2 Green	Green, Yellow, Green
5	10	Use 2 Blue and 1 Yellow	Blue, Yellow, Blue
6	16	Use 1 Red and 2 Yellow	Yellow, Red, Yellow
7	23	Use 1 Yellow and 2 Green	Yellow, Green, Green
8	15	Use 2 Blue and 1 Green	Blue, Blue, Green
9	15	Use 2 Blue and 1 Green	Blue, Blue, Green
10	16	Use 1 Red and 2 Yellow	Yellow, Red, Yellow
11	21	Use 1 Blue and 2 Green	Blue, Green, Green
12	9	Use 1 Blue and 2 Red	Red, Red, Blue
13	23	Use 1 Yellow and 2 Green	Yellow, Green, Green
14	23	Use 1 Yellow and 2 Green	Yellow, Green, Green
15	12	Use 1 Blue and 2 Yellow	Yellow, Yellow, Blue
16	12	Use 1 Blue and 2 Yellow	Yellow, Yellow, Blue
17	8	Use 2 Blue and 1 Yellow	Yellow, Blue, Blue
