piece	sum	instruction	answer
1	21	Use 2 Yellow and 1 Green	Yellow, Yellow, Green
2	8	Use 2 Blue and 1 Red	Blue, Red, Blue
3	14	Use 1 Blue and 2 Yellow	Yellow, Blue, Yellow
4	19	Use 2 Yellow and 1 Green	Green, Yellow, Yellow
5	16	Use 1 Blue and 2 Yellow	Blue, Yellow, Yellow
6	9	Use 2 Blue and 1 Red	Blue, Blue, Red
7	15	Use 2 Red and 1 Yellow	Red, Red, Yellow
8	12	Use 1 Blue and 2 Yellow	Yellow, Yellow, Blue
9	21	Use 2 Yellow and 1 Green	Yellow, Yellow, Green
10	15	Use 1 Red and 2 Yellow	Yellow, Yellow, Red
11	10	Use 1 Blue and 2 Red	Red, Blue, Red
12	11	Use 1 Blue and 2 Red	Blue, Red, Red
13	23	Use 1 Yellow and 2 Green	Yellow, Green, Green
14	15	Use 2 Red and 1 Yellow	Red, Red, Yellow
15	15	Use 1 Red and 2 Yellow	Yellow, Yellow, Red
16	16	Use 2 Red and 1 Green	Red, Green, Red
17	19	Use 2 Yellow and 1 Green	Green, Yellow, Yellow
