piece	sum	instruction	answer
1	16	Use 1 Blue and 2 Yellow	Blue, Yellow, Yellow
2	21	Use 2 Yellow and 1 Green	Yellow, Yellow, Green
3	7	Use 2 Blue and 1 Red	Red, Blue, Blue
4	15	Use 1 Blue and 2 Green	Green, Green, Blue
5	12	Use 1 Blue and 2 Yellow	Yellow, Yellow, Blue
6	13	Use 2 Red and 1 Yellow	Yellow, Red, Red
7	15	Use 1 Blue and 2 Green	Green, Green, Blue
8	9	Use 2 Blue and 1 Red	Blue, Blue, Red
9	13	Use 2 Red and 1 Yellow	Yellow, Red, Red
10	21	Use 2 Yellow and 1 Green	Yellow, Yellow, Green
11	9	Use 1 Blue and 2 Red	Red, Red, Blue
12	13	Use 2 Red and 1 Yellow	Yellow, Red, Red
13	21	Use 2 Yellow and 1 Green	Yellow, Yellow, Green
14	8	Use 2 Blue and 1 Red	Blue, Red, Blue
15	22	Use 1 Red and 2 Green	Red, Green, Green
16	17	Use 1 Red and 2 Yellow	Red, Yellow, Yellow
17	20	Use 2 Yellow and 1 Green	Yellow, Green, Yellow
