piece	sum	instruction	answer
1	9	Use 2 Blue and 1 Green	Green, Blue, Blue
2	14	Use 1 Blue and 2 Yellow	Yellow, Blue, Yellow
3	12	Use 1 Blue and 2 Yellow	Yellow, Yellow, Blue
4	15	Use 2 Red and 1 Yellow	Red, Red, Yellow
5	14	Use 2 Red and 1 Yellow	Red, Yellow, Red
6	21	Use 1 Yellow and 2 Green	Green, Green, Yellow
7	8	Use 2 Blue and 1 Red	Blue, Red, Blue
8	8	Use 2 Blue and 1 Yellow	Yellow, Blue, Blue
9	10	Use 1 Blue and 2 Red	Red, Blue, Red
10	16	Use 1 Blue and 2 Yellow	Blue, Yellow, Yellow
11	21	Use 2 Yellow and 1 Green	Yellow, Yellow, Green
12	16	Use 1 Red and 2 Yellow	Yellow, Red, Yellow
13	9	Use 1 Blue and 2 Red	Red, Red, Blue
14	22	Use 1 Red and 2 Green	Red, Green, Green
15	21	Use 1 Blue and 2 Green	Blue, Green, Green
16	17	Use 1 Red and 2 Yellow	Red, Yellow, Yellow
17	7	Use 2 Blue and 1 Red	Red, Blue, Blue
