piece	sum	instruction	answer
1	14	Use 1 Blue and 2 Yellow	Yellow, Blue, Yellow
2	7	Use 2 Blue and 1 Red	Red, Blue, Blue
3	22	Use 1 Red and 2 Green	Red, Green, Green
4	8	Use 2 Blue and 1 Yellow	Yellow, Blue, Blue
5	12	Use 2 Blue and 1 Green	Blue, Green, Blue
6	14	Use 2 Red and 1 Yellow	Red, Yellow, Red
7	8	Use 2 Blue and 1 Red	Blue, Red, Blue
8	9	Use 1 Blue and 2 Red	Red, Red, Blue
9	12	Use 1 Blue and 2 Yellow	Yellow, Yellow, Blue
10	17	Use 1 Red and 2 Yellow	Red, Yellow, Yellow
11	14	Use 2 Red and 1 Yellow	Red, Yellow, Red
12	10	Use 2 Blue and 1 Yellow	Blue, Yellow, Blue
13	16	Use 1 Red and 2 Yellow	Yellow, Red, Yellow
14	20	Use 2 Yellow and 1 Green	Yellow, Green, Yellow
15	16	Use 2 Red and 1 Green	Red, Green, Red
16	15	Use 1 Red and 2 Yellow	Yellow, Yellow, Red
17	18	Use 1 Red and 2 Green	Green, Green, Red
