piece	sum	instruction	answer
1	11	Use 1 Blue and 2 Red	Blue, Red, Red
2	20	Use 1 Red and 2 Green	Green, Red, Green
3	23	Use 1 Yellow and 2 Green	Yellow, Green, Green
4	15	Use 2 Red and 1 Yellow	Red, Red, Yellow
5	21	Use 1 Blue and 2 Green	Blue, Green, Green
6	21	Use 1 Yellow and 2 Green	Green, Green, Yellow
7	18	Use 1 Blue and 2 Green	Green, Blue, Green
8	14	Use 2 Red and 1 Green	Green, Red, Red
9	20	Use 1 Red and 2 Green	Green, Red, Green
10	16	Use 1 Red and 2 Yellow	Yellow, Red, Yellow
11	18	Use 1 Blue and 2 Green	Green, Blue, Green
12	14	Use 1 Blue and 2 Yellow	Yellow, Blue, Yellow
13	13	Use 2 Red and 1 Yellow	Yellow, Red, Red
14	9	Use 1 Blue and 2 Red	Red, Red, Blue
15	21	Use 1 Yellow and 2 Green	Green, Green, Yellow
16	23	Use 1 Yellow and 2 Green	Yellow, Green, Green
17	20	Use 1 Red and 2 Green	Green, Red, Green
