piece	sum	instruction	answer
1	20	Use 1 Red and 2 Green	Green, Red, Green
2	19	Use 2 Yellow and 1 Green	Green, Yellow, Yellow
3	20	Use 2 Yellow and 1 Green	Yellow, Green, Yellow
4	8	Use 2 Blue and 1 Yellow	Yellow, Blue, Blue
5	21	Use 2 Yellow and 1 Green	Yellow, Yellow, Green
6	21	Use 1 Blue and 2 Green	Blue, Green, Green
7	16	Use 2 Red and 1 Green	Red, Green, Red
8	10	Use 1 Blue and 2 Red	Red, Blue, Red
9	16	Use 1 Blue and 2 Yellow	Blue, Yellow, Yellow
10	9	Use 2 Blue and 1 Red	Blue, Blue, Red
11	15	Use 1 Blue and 2 Green	Green, Green, Blue
12	15	Use 1 Red and 2 Yellow	Yellow, Yellow, Red
13	21	Use 1 Yellow and 2 Green	Green, Green, Yellow
14	16	Use 2 Red and 1 Green	Red, Green, Red
15	21	Use 1 Yellow and 2 Green	Green, Green, Yellow
16	15	Use 1 Red and 2 Yellow	Yellow, Yellow, Red
17	18	Use 2 Red and 1 Green	Red, Red, Green
