piece	mode	param1	param2
1	image	workpiece_2.png	
2	image	workpiece_3.png	
3	text	12	Use 2 Blue and 1 Green
4	text	18	Use 1 Red and 2 Green
5	image	workpiece_8.png	
6	image	workpiece_8.png	
7	text	20	Use 2 Yellow and 1 Green
8	text	20	Use 2 Yellow and 1 Green
9	image	workpiece_5.png	
10	image	workpiece_4.png	
11	text	13	Use 2 Red and 1 Yellow
12	text	17	Use 1 Red and 2 Yellow
13	image	workpiece_8.png	
14	image	workpiece_4.png	
15	text	14	Use 1 Blue and 2 Yellow
16	text	18	Use 1 Blue and 2 Green
17	image	workpiece_2.png	
18	image	workpiece_2.png	
19	text	20	Use 1 Red and 2 Green
20	text	22	Use 1 Yellow and 2 Green
21	image	workpiece_5.png	
22	image	workpiece_7.png	
23	text	23	Use 1 Yellow and 2 Green
24	text	16	Use 2 Red and 1 Green
25	image	workpiece_7.png	
26	image	workpiece_7.png	
27	text	12	Use 2 Blue and 1 Yellow
28	text	16	Use 1 Red and 2 Yellow
29	image	workpiece_3.png	
30	image	workpiece_7.png	
31	text	17	Use 1 Red and 2 Yellow
32	text	23	Use 1 Yellow and 2 Green
33	image	workpiece_4.png	
34	image	workpiece_5.png	
35	text	8	Use 2 Blue and 1 Yellow
36	text	22	Use 1 Red and 2 Green
37	image	workpiece_1.png	
38	image	workpiece_7.png	
39	text	19	Use 2 Yellow and 1 Green
40	text	12	Use 2 Blue and 1 Yellow
