piece	sum	instruction	answer
1	21	Use 1 Yellow and 2 Green	Green, Green, Yellow
2	12	Use 2 Blue and 1 Yellow	Blue, Blue, Yellow
3	23	Use 1 Yellow and 2 Green	Yellow, Green, Green
4	14	Use 1 Blue and 2 Yellow	Yellow, Blue, Yellow
5	16	Use 1 Blue and 2 Yellow	Blue, Yellow, Yellow
6	15	Use 2 Blue and 1 Green	Blue, Blue, Green
7	16	Use 1 Blue and 2 Yellow	Blue, Yellow, Yellow
8	8	Use 2 Blue and 1 Red	Blue, Red, Blue
9	21	Use 1 Yellow and 2 Green	Green, Green, Yellow
10	16	Use 2 Red and 1 Green	Red, Green, Red
11	16	Use 2 Red and 1 Green	Red, Green, Red
12	9	Use 2 Blue and 1 Green	Green, Blue, Blue
13	18	Use 1 Red and 2 Green	Green, Green, Red
14	20	Use 2 Yellow and 1 Green	Yellow, Green, Yellow
15	16	Use 1 Red and 2 Yellow	Yellow, Red, Yellow
16	12	Use 2 Blue and 1 Green	Blue, Green, Blue
17	16	Use 1 Red and 2 Yellow	Yellow, Red, Yellow
