piece	sum	instruction	answer
1	18	Use 1 Blue and 2 Green	Green, Blue, Green
2	21	Use 1 Blue and 2 Green	Blue, Green, Green
3	18	Use 2 Red and 1 Green	Red, Red, Green
4	13	Use 2 Red and 1 Yellow	Yellow, Red, Red
5	13	Use 2 Red and 1 Yellow	Yellow, Red, Red
6	18	Use 1 Red and 2 Green	Green, Green, Red
7	9	Use 1 Blue and 2 Red	Red, Red, Blue
8	19	Use 2 Yellow and 1 Green	Green, Yellow, Yellow
9	20	Use 1 Red and 2 Green	Green, Red, Green
10	20	Use 1 Red and 2 Green	Green, Red, Green
11	8	Use 2 Blue and 1 Yellow	Yellow, Blue, Blue
12	22	Use 1 Red and 2 Green	Red, Green, Green
13	16	Use 1 Blue and 2 Yellow	Blue, Yellow, Yellow
14	13	Use 2 Red and 1 Yellow	Yellow, Red, Red
15	14	Use 2 Red and 1 Yellow	Red, Yellow, Red
16	21	Use 1 Yellow and 2 Green	Green, Green, Yellow
17	22	Use 1 Red and 2 Green	Red, Green, Green
