piece	sum	instruction	answer
1	17	Use 1 Red and 2 Yellow	Red, Yellow, Yellow
2	21	Use 1 Blue and 2 Green	Blue, Green, Green
3	21	Use 1 Blue and 2 Green	Blue, Green, Green
4	15	Use 2 Blue and 1 Green	Blue, Blue, Green
5	18	Use 2 Red and 1 Green	Red, Red, Green
6	14	Use 2 Red and 1 Green	Green, Red, Red
7	20	Use 1 Red and 2 Green	Green, Red, Green
8	7	Use 2 Blue and 1 Red	Red, Blue, Blue
9	18	Use 2 Red and 1 Green	Red, Red, Green
10	15	Use 1 Blue and 2 Green	Green, Green, Blue
11	14	Use 2 Red and 1 Yellow	Red, Yellow, Red
12	14	Use 2 Red and 1 Green	Green, Red, Red
13	7	Use 2 Blue and 1 Red	Red, Blue, Blue
14	15	Use 2 Blue and 1 Green	Blue, Blue, Green
15	15	Use 2 Red and 1 Yellow	Red, Red, Yellow
16	16	Use 1 Red and 2 Yellow	Yellow, Red, Yellow
17	12	Use 1 Blue and 2 Yellow	Yellow, Yellow, Blue
