piece	sum	instruction	answer
1	21	Use 1 Yellow and 2 Green	Green, Green, Yellow
2	18	Use 2 Red and 1 Green	Red, Red, Green
3	14	Use 2 Red and 1 Yellow	Red, Yellow, Red
4	16	Use 2 Red and 1 Green	Red, Green, Red
5	12	Use 1 Blue and 2 Yellow	Yellow, Yellow, Blue
6	14	Use 2 Red and 1 Green	Green, Red, Red
7	12	Use 2 Blue and 1 Green	Blue, Green, Blue
8	11	Use 1 Blue and 2 Red	Blue, Red, Red
9	23	Use 1 Yellow and 2 Green	Yellow, Green, Green
10	20	Use 1 Red and 2 Green	Green, Red, Green
11	18	Use 1 Blue and 2 Green	Green, Blue, Green
12	16	Use 1 Red and 2 Yellow	Yellow, Red, Yellow
13	12	Use 1 Blue and 2 Yellow	Yellow, Yellow, Blue
14	9	Use 2 Blue and 1 Red	Blue, Blue, Red
15	12	Use 1 Blue and 2 Yellow	Yellow, Yellow, Blue
16	11	Use 1 Blue and 2 Red	Blue, Red, Red
17	7	Use 2 Blue and 1 Red	Red, Blue, Blue
