piece	sum	instruction	answer
1	12	Use 2 Blue and 1 Yellow	Blue, Blue, Yellow
2	18	Use 2 Red and 1 Green	Red, Red, Green
3	19	Use 2 Yellow and 1 Green	Green, Yellow, Yellow
4	7	Use 2 Blue and 1 Red	Red, Blue, Blue
5	16	Use 1 Blue and 2 Yellow	Blue, Yellow, Yellow
6	8	Use 2 Blue and 1 Yellow	Yellow, Blue, Blue
7	21	Use 1 Yellow and 2 Green	Green, Green, Yellow
8	17	Use 1 Red and 2 Yellow	Red, Yellow, Yellow
9	15	Use 2 Blue and 1 Green	Blue, Blue, Green
10	13	Use 2 Red and 1 Yellow	Yellow, Red, Red
11	12	Use 2 Blue and 1 Green	Blue, Green, Blue
12	7	Use 2 Blue and 1 Red	Red, Blue, Blue
13	21	Use 1 Yellow and 2 Green	Green, Green, Yellow
14	10	Use 1 Blue and 2 Red	Red, Blue, Red
15	13	Use 2 Red and 1 Yellow	Yellow, Red, Red
16	18	Use 1 Blue and 2 Green	Green, Blue, Green
17	10	Use 2 Blue and 1 Yellow	Blue, Yellow, Blue
