answer
Green, Red, Green
Green, Red, Red
Green, Green, Yellow
Yellow, Red, Red
Red, Green, Green
Red, Green, Green
Blue, Green, Blue
Yellow, Red, Red
Red, Green, Green
Green, Red, Green
Blue, Blue, Yellow
Yellow, Green, Yellow
Red, Green, Green
Red, Green, Green
Yellow, Yellow, Red
Green, Blue, Green
Green, Red, Green
Green, Red, Red
Green, Green, Yellow
Yellow, Blue, Blue
Green, Red, Red
Green, Red, Green
Green, Red, Green
Red, Red, Green
Blue, Yellow, Blue
Red, Green, Green
Yellow, Yellow, Green
Red, Blue, Red
Yellow, Blue, Blue
Blue, Yellow, Blue
Yellow, Red, Yellow
Yellow, Green, Yellow
Green, Red, Green
Green, Red, Red
Red, Yellow, Red
Yellow, Yellow, Green
Red, Blue, Red
Red, Blue, Red
Red, Red, Green
Yellow, Yellow, Green
