piece	sum	instruction	answer
1	21	Use 1 Yellow and 2 Green	Green, Green, Yellow
2	20	Use 2 Yellow and 1 Green	Yellow, Green, Yellow
3	9	Use 2 Blue and 1 Red	Blue, Blue, Red
4	11	Use 1 Blue and 2 Red	Blue, Red, Red
5	18	Use 1 Blue and 2 Green	Green, Blue, Green
6	8	Use 2 Blue and 1 Yellow	Yellow, Blue, Blue
7	9	Use 1 Blue and 2 Red	Red, Red, Blue
8	14	Use 1 Blue and 2 Yellow	Yellow, Blue, Yellow
9	13	Use 2 Red and 1 Yellow	Yellow, Red, Red
10	12	Use 2 Blue and 1 Yellow	Blue, Blue, Yellow
11	15	Use 2 Red and 1 Yellow	Red, Red, Yellow
12	9	Use 2 Blue and 1 Red	Blue, Blue, Red
13	9	Use 1 Blue and 2 Red	Red, Red, Blue
14	18	Use 2 Red and 1 Green	Red, Red, Green
15	12	Use 1 Blue and 2 Yellow	Yellow, Yellow, Blue
16	16	Use 2 Red and 1 Green	Red, Green, Red
17	15	Use 2 Red and 1 Yellow	Red, Red, Yellow
