piece	sum	instruction	answer
1	12	Use 2 Blue and 1 Green	Blue, Green, Blue
2	18	Use 2 Red and 1 Green	Red, Red, Green
3	18	Use 2 Red and 1 Green	Red, Red, Green
4	15	Use 2 Blue and 1 Green	Blue, Blue, Green
5	21	Use 1 Blue and 2 Green	Blue, Green, Green
6	14	Use 1 Blue and 2 Yellow	Yellow, Blue, Yellow
7	21	Use 1 Blue and 2 Green	Blue, Green, Green
8	21	Use 2 Yellow and 1 Green	Yellow, Yellow, Green
9	12	Use 2 Blue and 1 Yellow	Blue, Blue, Yellow
10	21	Use 2 Yellow and 1 Green	Yellow, Yellow, Green
11	22	Use 1 Red and 2 Green	Red, Green, Green
12	14	Use 2 Red and 1 Yellow	Red, Yellow, Red
13	7	Use 2 Blue and 1 Red	Red, Blue, Blue
14	7	Use 2 Blue and 1 Red	Red, Blue, Blue
15	17	Use 1 Red and 2 Yellow	Red, Yellow, Yellow
16	19	Use 2 Yellow and 1 Green	Green, Yellow, Yellow
17	9	Use 2 Blue and 1 Green	Green, Blue, Blue
