piece	sum	instruction	answer
1	8	Use 2 Blue and 1 Red	Blue, Red, Blue
2	9	Use 1 Blue and 2 Red	Red, Red, Blue
3	14	Use 2 Red and 1 Green	Green, Red, Red
4	10	Use 2 Blue and 1 Yellow	Blue, Yellow, Blue
5	18	Use 1 Blue and 2 Green	Green, Blue, Green
6	16	Use 1 Blue and 2 Yellow	Blue, Yellow, Yellow
7	21	Use 1 Blue and 2 Green	Blue, Green, Green
8	10	Use 1 Blue and 2 Red	Red, Blue, Red
9	7	Use 2 Blue and 1 Red	Red, Blue, Blue
10	8	Use 2 Blue and 1 Red	Blue, Red, Blue
11	15	Use 2 Red and 1 Yellow	Red, Red, Yellow
12	16	Use 2 Red and 1 Green	Red, Green, Red
13	16	Use 1 Blue and 2 Yellow	Blue, Yellow, Yellow
14	21	Use 1 Blue and 2 Green	Blue, Green, Green
15	15	Use 2 Red and 1 Yellow	Red, Red, Yellow
16	15	Use 1 Blue and 2 Green	Green, Green, Blue
17	16	Use 1 Blue and 2 Yellow	Blue, Yellow, Yellow
