answer
Blue, Yellow, Blue
Green, Red, Green
Yellow, Green, Yellow
Yellow, Blue, Blue
Green, Red, Green
Blue, Blue, Green
Red, Blue, Red
Red, Blue, Red
Blue, Yellow, Blue
Green, Red, Red
Green, Red, Red
Red, Blue, Red
Blue, Blue, Green
Green, Red, Red
Red, Blue, Red
Yellow, Green, Yellow
Red, Blue, Red
Blue, Blue, Green
Green, Red, Green
Yellow, Blue, Blue
Green, Red, Green
Blue, Blue, Green
Blue, Yellow, Blue
Green, Red, Red
Blue, Yellow, Blue
Red, Blue, Red
Blue, Yellow, Blue
Yellow, Green, Yellow
Blue, Blue, Green
Red, Blue, Red
Red, Green, Green
Red, Blue, Red
Red, Blue, Red
Green, Red, Red
Green, Red, Green
Yellow, Green, Yellow
Blue, Blue, Green
Yellow, Blue, Blue
Blue, Blue, Green
Yellow, Green, Yellow
