answer
Red, Blue, Red
Blue, Blue, Green
Blue, Yellow, Blue
Green, Green, Red
Yellow, Green, Yellow
Red, Blue, Red
Blue, Red, Red
Blue, Yellow, Blue
Green, Red, Green
Yellow, Green, Yellow
Yellow, Yellow, Blue
Yellow, Blue, Blue
Red, Blue, Red
Yellow, Green, Yellow
Green, Red, Red
Green, Yellow, Green
Blue, Blue, Green
Red, Green, Green
Yellow, Blue, Yellow
Blue, Blue, Red
Blue, Yellow, Blue
Red, Blue, Red
Green, Green, Red
Yellow, Red, Yellow
Green, Red, Green
Green, Red, Green
Yellow, Red, Yellow
Green, Green, Red
Green, Red, Red
Green, Red, Green
Yellow, Blue, Yellow
Yellow, Blue, Yellow
Red, Green, Green
Red, Blue, Red
Red, Red, Blue
Blue, Blue, Yellow
Green, Red, Red
Yellow, Green, Yellow
Yellow, Blue, Yellow
Yellow, Yellow, Blue
