answer
Blue, Yellow, Blue
Green, Red, Red
Red, Red, Green
Red, Blue, Blue
Yellow, Blue, Blue
Green, Red, Red
Blue, Green, Green
Yellow, Yellow, Red
Blue, Blue, Green
Blue, Blue, Green
Yellow, Green, Green
Blue, Green, Green
Yellow, Green, Yellow
Blue, Blue, Green
Red, Red, Blue
Green, Yellow, Green
Green, Red, Green
Green, Red, Green
Yellow, Red, Red
Red, Blue, Blue
Yellow, Blue, Blue
Blue, Yellow, Blue
Red, Yellow, Red
Yellow, Green, Green
Yellow, Blue, Blue
Yellow, Green, Yellow
Blue, Green, Green
Blue, Red, Blue
Blue, Yellow, Blue
Red, Green, Green
Yellow, Yellow, Green
Green, Yellow, Green
Yellow, Blue, Blue
Blue, Blue, Green
Red, Blue, Red
Red, Red, Yellow
Green, Red, Red
Red, Green, Green
Yellow, Red, Red
Blue, Red, Blue
