piece	sum	instruction	answer
1	22	Use 1 Red and 2 Green	Red, Green, Green
2	8	Use 2 Blue and 1 Red	Blue, Red, Blue
3	21	Use 1 Blue and 2 Green	Blue, Green, Green
4	12	Use 2 Blue and 1 Yellow	Blue, Blue, Yellow
5	20	Use 2 Yellow and 1 Green	Yellow, Green, Yellow
6	7	Use 2 Blue and 1 Red	Red, Blue, Blue
7	15	Use 1 Red and 2 Yellow	Yellow, Yellow, Red
8	23	Use 1 Yellow and 2 Green	Yellow, Green, Green
9	7	Use 2 Blue and 1 Red	Red, Blue, Blue
10	16	Use 1 Red and 2 Yellow	Yellow, Red, Yellow
11	18	Use 2 Red and 1 Green	Red, Red, Green
12	14	Use 2 Red and 1 Yellow	Red, Yellow, Red
13	15	Use 1 Red and 2 Yellow	Yellow, Yellow, Red
14	21	Use 2 Yellow and 1 Green	Yellow, Yellow, Green
15	16	Use 2 Red and 1 Green	Red, Green, Red
16	21	Use 1 Blue and 2 Green	Blue, Green, Green
17	22	Use 1 Yellow and 2 Green	Green, Yellow, Green
