piece	sum	instruction	answer
1	16	Use 2 Red and 1 Green	Red, Green, Red
2	10	Use 1 Blue and 2 Red	Red, Blue, Red
3	7	Use 2 Blue and 1 Red	Red, Blue, Blue
4	15	Use 2 Red and 1 Yellow	Red, Red, Yellow
5	22	Use 1 Red and 2 Green	Red, Green, Green
6	16	Use 1 Red and 2 Yellow	Yellow, Red, Yellow
7	15	Use 2 Blue and 1 Green	Blue, Blue, Green
8	12	Use 2 Blue and 1 Green	Blue, Green, Blue
9	16	Use 2 Red and 1 Green	Red, Green, Red
10	12	Use 2 Blue and 1 Green	Blue, Green, Blue
11	12	Use 1 Blue and 2 Yellow	Yellow, Yellow, Blue
12	10	Use 1 Blue and 2 Red	Red, Blue, Red
13	18	Use 1 Red and 2 Green	Green, Green, Red
14	16	Use 2 Red and 1 Green	Red, Green, Red
15	12	Use 2 Blue and 1 Green	Blue, Green, Blue
16	19	Use 2 Yellow and 1 Green	Green, Yellow, Yellow
17	18	Use 1 Blue and 2 Green	Green, Blue, Green
