piece	sum	instruction	answer
1	7	Use 2 Blue and 1 Red	Red, Blue, Blue
2	21	Use 1 Blue and 2 Green	Blue, Green, Green
3	10	Use 2 Blue and 1 Yellow	Blue, Yellow, Blue
4	18	Use 1 Red and 2 Green	Green, Green, Red
5	12	Use 1 Blue and 2 Yellow	Yellow, Yellow, Blue
6	8	Use 2 Blue and 1 Yellow	Yellow, Blue, Blue
7	11	Use 1 Blue and 2 Red	Blue, Red, Red
8	10	Use 2 Blue and 1 Yellow	Blue, Yellow, Blue
9	22	Use 1 Yellow and 2 Green	Green, Yellow, Green
10	14	Use 2 Red and 1 Green	Green, Red, Red
11	11	Use 1 Blue and 2 Red	Blue, Red, Red
12	12	Use 1 Blue and 2 Yellow	Yellow, Yellow, Blue
13	8	Use 2 Blue and 1 Yellow	Yellow, Blue, Blue
14	9	Use 1 Blue and 2 Red	Red, Red, Blue
15	11	Use 1 Blue and 2 Red	Blue, Red, Red
16	14	Use 2 Red and 1 Green	Green, Red, Red
17	22	Use 1 Yellow and 2 Green	Green, Yellow, Green
