answer
Blue, Yellow, Blue
Yellow, Green, Yellow
Green, Red, Red
Green, Red, Red
Yellow, Blue, Blue
Yellow, Green, Yellow
Green, Red, Red
Green, Red, Green
Red, Green, Green
Yellow, Green, Yellow
Red, Blue, Red
Green, Red, Green
Blue, Blue, Green
Red, Blue, Red
Blue, Blue, Green
Blue, Yellow, Blue
Yellow, Blue, Blue
Blue, Yellow, Blue
Green, Red, Red
Red, Blue, Red
Red, Green, Green
Yellow, Blue, Blue
Yellow, Blue, Blue
Green, Red, Red
Green, Red, Red
Green, Red, Green
Green, Red, Red
Blue, Blue, Green
Green, Red, Green
Green, Red, Red
Blue, Blue, Green
Yellow, Green, Yellow
Yellow, Blue, Blue
Red, Green, Green
Green, Red, Red
Yellow, Green, Yellow
Blue, Blue, Green
Green, Red, Green
Red, Blue, Red
Red, Blue, Red
