piece	sum	instruction	answer
1	9	Use 2 Blue and 1 Red	Blue, Blue, Red
2	14	Use 1 Blue and 2 Yellow	Yellow, Blue, Yellow
3	18	Use 1 Red and 2 Green	Green, Green, Red
4	12	Use 2 Blue and 1 Yellow	Blue, Blue, Yellow
5	22	Use 1 Red and 2 Green	Red, Green, Green
6	12	Use 2 Blue and 1 Yellow	Blue, Blue, Yellow
7	16	Use 1 Red and 2 Yellow	Yellow, Red, Yellow
8	15	Use 2 Blue and 1 Green	Blue, Blue, Green
9	12	Use 2 Blue and 1 Yellow	Blue, Blue, Yellow
10	19	Use 2 Yellow and 1 Green	Green, Yellow, Yellow
11	9	Use 1 Blue and 2 Red	Red, Red, Blue
12	19	Use 2 Yellow and 1 Green	Green, Yellow, Yellow
13	11	Use 1 Blue and 2 Red	Blue, Red, Red
14	8	Use 2 Blue and 1 Red	Blue, Red, Blue
15	21	Use 1 Blue and 2 Green	Blue, Green, Green
16	19	Use 2 Yellow and 1 Green	Green, Yellow, Yellow
17	16	Use 1 Red and 2 Yellow	Yellow, Red, Yellow
