answer
Yellow, Green, Yellow
Blue, Blue, Green
Yellow, Blue, Blue
Yellow, Green, Yellow
Yellow, Green, Yellow
Yellow, Blue, Blue
Yellow, Green, Yellow
Red, Blue, Red
Red, Green, Green
Blue, Blue, Green
Blue, Yellow, Blue
Green, Red, Green
Yellow, Blue, Blue
Yellow, Green, Yellow
Blue, Yellow, Blue
Blue, Blue, Green
Blue, Yellow, Blue
Green, Red, Red
Green, Red, Red
Blue, Blue, Green
Blue, Yellow, Blue
Blue, Blue, Green
Yellow, Green, Yellow
Red, Blue, Red
Green, Red, Green
Green, Red, Red
Yellow, Blue, Blue
Red, Blue, Red
Green, Red, Red
Blue, Blue, Green
Red, Green, Green
Red, Green, Green
Yellow, Blue, Blue
Red, Green, Green
Yellow, Blue, Blue
Red, Blue, Red
Green, Red, Red
Yellow, Blue, Blue
Blue, Yellow, Blue
Green, Red, Green
