answer
Red, Green, Green
Green, Red, Green
Red, Green, Red
Blue, Blue, Green
Green, Red, Red
Blue, Yellow, Blue
Yellow, Green, Yellow
Green, Green, Yellow
Blue, Yellow, Blue
Blue, Blue, Green
Red, Blue, Red
Green, Green, Red
Yellow, Blue, Blue
Yellow, Green, Yellow
Red, Yellow, Yellow
Yellow, Green, Green
Blue, Yellow, Blue
Yellow, Green, Yellow
Yellow, Yellow, Blue
Red, Red, Yellow
Yellow, Green, Yellow
Yellow, Green, Yellow
Blue, Blue, Yellow
Yellow, Red, Yellow
Red, Green, Green
Red, Blue, Red
Yellow, Red, Yellow
Red, Green, Green
Blue, Blue, Green
Blue, Yellow, Blue
Blue, Blue, Green
Red, Red, Yellow
Yellow, Green, Yellow
Blue, Blue, Green
Green, Red, Red
Blue, Red, Red
Blue, Yellow, Blue
Green, Red, Red
Yellow, Yellow, Green
Yellow, Yellow, Green
