answer
Green, Red, Red
Green, Red, Red
Yellow, Yellow, Green
Blue, Blue, Red
Red, Green, Green
Yellow, Blue, Blue
Blue, Red, Blue
Green, Blue, Green
Blue, Yellow, Blue
Green, Red, Red
Red, Blue, Red
Blue, Green, Blue
Green, Red, Green
Blue, Blue, Green
Green, Green, Yellow
Yellow, Red, Red
Green, Red, Green
Red, Blue, Red
Blue, Green, Blue
Green, Red, Green
Green, Red, Green
Red, Green, Green
Green, Blue, Blue
Red, Blue, Blue
Blue, Blue, Green
Yellow, Blue, Blue
Green, Yellow, Yellow
Blue, Blue, Red
Yellow, Green, Yellow
Blue, Yellow, Blue
Blue, Green, Blue
Blue, Blue, Red
Green, Red, Red
Blue, Yellow, Blue
Green, Yellow, Green
Green, Blue, Green
Green, Red, Green
Yellow, Green, Yellow
Green, Green, Yellow
Yellow, Red, Yellow
