piece	sum	instruction	answer
1	14	Use 2 Red and 1 Yellow	Red, Yellow, Red
2	21	Use 2 Yellow and 1 Green	Yellow, Yellow, Green
3	23	Use 1 Yellow and 2 Green	Yellow, Green, Green
4	12	Use 2 Blue and 1 Green	Blue, Green, Blue
5	14	Use 2 Red and 1 Yellow	Red, Yellow, Red
6	14	Use 2 Red and 1 Green	Green, Red, Red
7	23	Use 1 Yellow and 2 Green	Yellow, Green, Green
8	15	Use 1 Blue and 2 Green	Green, Green, Blue
9	18	Use 1 Red and 2 Green	Green, Green, Red
10	23	Use 1 Yellow and 2 Green	Yellow, Green, Green
11	20	Use 2 Yellow and 1 Green	Yellow, Green, Yellow
12	23	Use 1 Yellow and 2 Green	Yellow, Green, Green
13	22	Use 1 Red and 2 Green	Red, Green, Green
14	16	Use 1 Red and 2 Yellow	Yellow, Red, Yellow
15	17	Use 1 Red and 2 Yellow	Red, Yellow, Yellow
16	18	Use 1 Blue and 2 Green	Green, Blue, Green
17	15	Use 1 Red and 2 Yellow	Yellow, Yellow, Red
