piece	mode	param1	param2
1	image	workpiece_2.png	
2	image	workpiece_1.png	
3	text	16	Use 1 Red and 2 Yellow
4	text	16	Use 1 Red and 2 Yellow
5	image	workpiece_4.png	
6	image	workpiece_5.png	
7	text	16	Use 1 Red and 2 Yellow
8	text	14	Use 2 Red and 1 Green
9	image	workpiece_8.png	
10	image	workpiece_8.png	
11	text	14	Use 2 Red and 1 Yellow
12	text	9	Use 2 Blue and 1 Green
13	image	workpiece_4.png	
14	image	workpiece_1.png	
15	text	9	Use 1 Blue and 2 Red
16	text	15	Use 2 Red and 1 Yellow
17	image	workpiece_6.png	
18	image	workpiece_5.png	
19	text	15	Use 2 Blue and 1 Green
20	text	15	Use 1 Red and 2 Yellow
21	image	workpiece_7.png	
22	image	workpiece_6.png	
23	text	18	Use 1 Red and 2 Green
24	text	15	Use 1 Red and 2 Yellow
25	image	workpiece_4.png	
26	image	workpiece_1.png	
27	text	20	Use 2 Yellow and 1 Green
28	text	23	Use 1 Yellow and 2 Green
29	image	workpiece_7.png	
30	image	workpiece_2.png	
31	text	19	Use 2 Yellow and 1 Green
32	text	14	Use 2 Red and 1 Green
33	image	workpiece_4.png	
34	image	workpiece_3.png	
35	text	20	Use 1 Red and 2 Green
36	text	12	Use 1 Blue and 2 Yellow
37	image	workpiece_1.png	
38	image	workpiece_4.png	
39	text	10	Use 2 Blue and 1 Yellow
40	text	21	Use 1 Yellow and 2 Green
