piece	sum	instruction	answer
1	18	Use 2 Red and 1 Green	Red, Red, Green
2	12	Use 1 Blue and 2 Yellow	Yellow, Yellow, Blue
3	18	Use 2 Red and 1 Green	Red, Red, Green
4	9	Use 1 Blue and 2 Red	Red, Red, Blue
5	12	Use 2 Blue and 1 Green	Blue, Green, Blue
6	8	Use 2 Blue and 1 Yellow	Yellow, Blue, Blue
7	15	Use 2 Red and 1 Yellow	Red, Red, Yellow
8	10	Use 2 Blue and 1 Yellow	Blue, Yellow, Blue
9	22	Use 1 Yellow and 2 Green	Green, Yellow, Green
10	8	Use 2 Blue and 1 Red	Blue, Red, Blue
11	14	Use 2 Red and 1 Yellow	Red, Yellow, Red
12	20	Use 1 Red and 2 Green	Green, Red, Green
13	15	Use 1 Blue and 2 Green	Green, Green, Blue
14	13	Use 2 Red and 1 Yellow	Yellow, Red, Red
15	20	Use 1 Red and 2 Green	Green, Red, Green
16	12	Use 2 Blue and 1 Green	Blue, Green, Blue
17	18	Use 1 Red and 2 Green	Green, Green, Red
