piece	sum	instruction	answer
1	14	Use 1 Blue and 2 Yellow	Yellow, Blue, Yellow
2	20	Use 2 Yellow and 1 Green	Yellow, Green, Yellow
3	21	Use 2 Yellow and 1 Green	Yellow, Yellow, Green
4	21	Use 1 Blue and 2 Green	Blue, Green, Green
5	22	Use 1 Red and 2 Green	Red, Green, Green
6	17	Use 1 Red and 2 Yellow	Red, Yellow, Yellow
7	20	Use 2 Yellow and 1 Green	Yellow, Green, Yellow
8	8	Use 2 Blue and 1 Red	Blue, Red, Blue
9	8	Use 2 Blue and 1 Yellow	Yellow, Blue, Blue
10	12	Use 2 Blue and 1 Green	Blue, Green, Blue
11	16	Use 2 Red and 1 Green	Red, Green, Red
12	11	Use 1 Blue and 2 Red	Blue, Red, Red
13	15	Use 1 Blue and 2 Green	Green, Green, Blue
14	9	Use 1 Blue and 2 Red	Red, Red, Blue
15	12	Use 2 Blue and 1 Green	Blue, Green, Blue
16	9	Use 1 Blue and 2 Red	Red, Red, Blue
17	17	Use 1 Red and 2 Yellow	Red, Yellow, Yellow
