piece	sum	instruction	answer
1	12	Use 2 Blue and 1 Yellow	Blue, Blue, Yellow
2	8	Use 2 Blue and 1 Yellow	Yellow, Blue, Blue
3	8	Use 2 Blue and 1 Red	Blue, Red, Blue
4	14	Use 2 Red and 1 Green	Green, Red, Red
5	12	Use 1 Blue and 2 Yellow	Yellow, Yellow, Blue
6	14	Use 2 Red and 1 Yellow	Red, Yellow, Red
7	9	Use 2 Blue and 1 Red	Blue, Blue, Red
8	18	Use 2 Red and 1 Green	Red, Red, Green
9	21	Use 1 Yellow and 2 Green	Green, Green, Yellow
10	11	Use 1 Blue and 2 Red	Blue, Red, Red
11	11	Use 1 Blue and 2 Red	Blue, Red, Red
12	9	Use 2 Blue and 1 Red	Blue, Blue, Red
13	15	Use 2 Blue and 1 Green	Blue, Blue, Green
14	19	Use 2 Yellow and 1 Green	Green, Yellow, Yellow
15	10	Use 1 Blue and 2 Red	Red, Blue, Red
16	15	Use 1 Red and 2 Yellow	Yellow, Yellow, Red
17	21	Use 1 Yellow and 2 Green	Green, Green, Yellow
