piece	sum	instruction	answer
1	20	Use 1 Red and 2 Green	Green, Red, Green
2	23	Use 1 Yellow and 2 Green	Yellow, Green, Green
3	20	Use 2 Yellow and 1 Green	Yellow, Green, Yellow
4	20	Use 1 Red and 2 Green	Green, Red, Green
5	21	Use 2 Yellow and 1 Green	Yellow, Yellow, Green
6	13	Use 2 Red and 1 Yellow	Yellow, Red, Red
7	12	Use 2 Blue and 1 Yellow	Blue, Blue, Yellow
8	21	Use 2 Yellow and 1 Green	Yellow, Yellow, Green
9	21	Use 1 Blue and 2 Green	Blue, Green, Green
10	12	Use 2 Blue and 1 Yellow	Blue, Blue, Yellow
11	10	Use 1 Blue and 2 Red	Red, Blue, Red
12	20	Use 1 Red and 2 Green	Green, Red, Green
13	15	Use 2 Red and 1 Yellow	Red, Red, Yellow
14	12	Use 1 Blue and 2 Yellow	Yellow, Yellow, Blue
15	9	Use 2 Blue and 1 Red	Blue, Blue, Red
16	22	Use 1 Yellow and 2 Green	Green, Yellow, Green
17	8	Use 2 Blue and 1 Yellow	Yellow, Blue, Blue
