piece	sum	instruction	answer
1	23	Use 1 Yellow and 2 Green	Yellow, Green, Green
2	16	Use 1 Red and 2 Yellow	Yellow, Red, Yellow
3	11	Use 1 Blue and 2 Red	Blue, Red, Red
4	16	Use 1 Red and 2 Yellow	Yellow, Red, Yellow
5	12	Use 1 Blue and 2 Yellow	Yellow, Yellow, Blue
6	15	Use 2 Blue and 1 Green	Blue, Blue, Green
7	19	Use 2 Yellow and 1 Green	Green, Yellow, Yellow
8	15	Use 1 Blue and 2 Green	Green, Green, Blue
9	9	Use 1 Blue and 2 Red	Red, Red, Blue
10	22	Use 1 Red and 2 Green	Red, Green, Green
11	15	Use 1 Red and 2 Yellow	Yellow, Yellow, Red
12	17	Use 1 Red and 2 Yellow	Red, Yellow, Yellow
13	10	Use 1 Blue and 2 Red	Red, Blue, Red
14	17	Use 1 Red and 2 Yellow	Red, Yellow, Yellow
15	7	Use 2 Blue and 1 Red	Red, Blue, Blue
16	21	Use 2 Yellow and 1 Green	Yellow, Yellow, Green
17	7	Use 2 Blue and 1 Red	Red, Blue, Blue
