piece	sum	instruction	answer
1	9	Use 2 Blue and 1 Red	Blue, Blue, Red
2	13	Use 2 Red and 1 Yellow	Yellow, Red, Red
3	12	Use 1 Blue and 2 Yellow	Yellow, Yellow, Blue
4	15	Use 2 Red and 1 Yellow	Red, Red, Yellow
5	9	Use 2 Blue and 1 Red	Blue, Blue, Red
6	12	Use 2 Blue and 1 Yellow	Blue, Blue, Yellow
7	15	Use 2 Red and 1 Yellow	Red, Red, Yellow
8	9	Use 2 Blue and 1 Red	Blue, Blue, Red
9	16	Use 2 Red and 1 Green	Red, Green, Red
10	21	Use 1 Blue and 2 Green	Blue, Green, Green
11	22	Use 1 Yellow and 2 Green	Green, Yellow, Green
12	18	Use 1 Blue and 2 Green	Green, Blue, Green
13	18	Use 1 Blue and 2 Green	Green, Blue, Green
14	21	Use 2 Yellow and 1 Green	Yellow, Yellow, Green
15	18	Use 1 Red and 2 Green	Green, Green, Red
16	16	Use 1 Blue and 2 Yellow	Blue, Yellow, Yellow
17	19	Use 2 Yellow and 1 Green	Green, Yellow, Yellow
